tradedate,tradetime,secid,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,SYSTIME
2020-01-03,10:05:00,MOEX,107.88,108.0,107.57,107.74,0.0005,5090,5480277,224,107.67,-0.1298,84,140,2703730,2776546,2511,2579,-0.01,107.68,107.66,2023-11-14 20:47:14
2020-01-03,10:10:00,MOEX,107.74,108.15,107.65,108.04,0.0003,2644,2854496,103,107.96,0.2784,78,25,1934245,920251,1792,852,0.36,107.94,108.01,2023-11-14 20:47:15
2020-01-03,10:15:00,MOEX,108.02,108.06,107.67,107.91,0.0002,2395,2583866,120,107.89,-0.1018,61,59,931859,1652007,864,1531,-0.28,107.85,107.9,2023-11-14 20:47:16
2020-01-03,10:20:00,MOEX,107.89,107.89,107.65,107.65,0.0002,3255,3508193,114,107.78,-0.2224,51,63,1352658,2155534,1255,2000,-0.23,107.78,107.78,2023-11-14 20:47:32
2020-01-03,10:25:00,MOEX,107.69,108.0,107.67,107.97,0.0002,3119,3364003,136,107.86,0.26,91,45,1796873,1567129,1666,1453,0.07,107.86,107.85,2023-11-14 20:47:32
2020-01-03,10:30:00,MOEX,107.97,108.02,107.87,108.01,0.0003,2164,2336158,126,107.96,0.037,77,49,1237323,1098835,1146,1018,0.06,107.97,107.94,2023-11-14 20:47:33
2020-01-03,10:35:00,MOEX,108.0,108.02,107.94,107.99,0.0003,1822,1967491,86,107.99,-0.0093,43,43,725689,1241802,672,1150,-0.26,107.99,107.98,2023-11-14 20:47:34
2020-01-03,10:40:00,MOEX,107.99,108.03,107.75,107.8,0.0002,3087,3330120,127,107.88,-0.1759,44,83,866243,2463876,803,2284,-0.48,107.88,107.88,2023-11-14 20:47:34
2020-01-03,10:45:00,MOEX,107.8,107.9,107.79,107.9,0.0002,942,1015913,66,107.85,0.0928,41,25,786213,229700,729,213,0.55,107.85,107.84,2023-11-14 20:47:35
2020-01-03,10:50:00,MOEX,107.9,108.01,107.84,108.0,0.0002,2011,2170240,69,107.92,0.0927,47,22,1475190,695049,1367,644,0.36,107.91,107.93,2023-11-14 20:47:16
2020-01-03,10:55:00,MOEX,108.05,108.1,107.91,107.99,0.0002,2091,2258873,103,108.03,-0.0555,47,56,719360,1539513,666,1425,-0.36,108.01,108.04,2023-11-14 20:47:17
2020-01-03,11:00:00,MOEX,107.96,108.07,107.94,108.07,0.0002,1428,1542228,68,108.0,0.1019,44,24,1012088,530140,937,491,0.31,108.01,107.97,2023-11-14 20:47:35
2020-01-03,11:05:00,MOEX,108.07,108.19,108.0,108.12,0.0001,6200,6701981,133,108.1,0.0463,92,41,4695031,2006949,4343,1857,0.4,108.11,108.07,2023-11-14 20:47:36
2020-01-03,11:10:00,MOEX,108.12,108.28,108.12,108.22,0.0001,6170,6676810,148,108.21,0.0925,120,28,5624927,1051883,5198,972,0.68,108.21,108.22,2023-11-14 20:47:18
2020-01-03,11:15:00,MOEX,108.25,108.31,108.19,108.25,0.0001,2248,2433434,96,108.25,0.0,66,30,1708347,725087,1578,670,0.4,108.26,108.22,2023-11-14 20:47:36
2020-01-03,11:20:00,MOEX,108.22,108.26,108.04,108.09,0.0001,5035,5447791,133,108.2,-0.1201,48,85,1375539,4072251,1271,3764,-0.5,108.22,108.19,2023-11-14 20:47:37
2020-01-03,11:25:00,MOEX,108.1,108.19,108.1,108.18,0.0002,1698,1836265,73,108.14,0.074,47,26,1186393,649872,1097,601,0.29,108.15,108.13,2023-11-14 20:47:18
2020-01-03,11:30:00,MOEX,108.15,108.18,108.1,108.15,0.0001,1889,2042751,57,108.14,0.0,34,23,767889,1274861,710,1179,-0.25,108.15,108.13,2023-11-14 20:47:19
2020-01-03,11:35:00,MOEX,108.18,108.2,108.11,108.2,0.0001,1371,1482857,52,108.16,0.0185,37,15,802607,680250,742,629,0.08,108.17,108.15,2023-11-14 20:47:37
2020-01-03,11:40:00,MOEX,108.21,108.21,108.04,108.07,0.0002,7413,8013636,150,108.1,-0.1294,49,101,1751542,6262094,1620,5793,-0.56,108.12,108.1,2023-11-14 20:47:19
2020-01-03,11:45:00,MOEX,108.1,108.9,108.08,108.8,0.0002,19080,20723095,478,108.61,0.6475,338,140,13507127,7215968,12439,6641,0.3,108.59,108.66,2023-11-14 20:47:20
2020-01-03,11:50:00,MOEX,108.85,109.8,108.8,109.62,0.0002,33122,36213761,892,109.33,0.7074,535,357,21938821,14274940,20076,13046,0.21,109.28,109.42,2023-11-14 20:47:20
2020-01-03,11:55:00,MOEX,109.61,109.77,109.55,109.76,0.0002,8306,9107466,229,109.65,0.1368,130,99,5726512,3380954,5222,3084,0.26,109.66,109.63,2023-11-14 20:47:38
2020-01-03,12:00:00,MOEX,109.76,109.76,109.48,109.75,0.0002,10555,11573369,222,109.65,-0.0091,99,123,6522696,5050673,5949,4606,0.13,109.64,109.65,2023-11-14 20:47:38
2020-01-03,12:05:00,MOEX,109.76,109.86,109.67,109.68,0.0002,11600,12732643,202,109.76,-0.0729,143,59,6916041,5816601,6299,5301,0.09,109.8,109.73,2023-11-14 20:47:39
2020-01-03,12:10:00,MOEX,109.68,109.68,109.53,109.58,0.0002,2724,2985356,133,109.59,-0.0912,74,59,1379933,1605423,1259,1465,-0.08,109.61,109.59,2023-11-14 20:47:39
2020-01-03,12:15:00,MOEX,109.58,109.58,109.33,109.47,0.0001,4790,5242217,128,109.44,-0.1004,58,70,2222909,3019307,2031,2759,-0.15,109.45,109.43,2023-11-14 20:47:40
2020-01-03,12:20:00,MOEX,109.46,109.48,109.32,109.4,0.0002,1128,1234247,50,109.42,-0.0548,29,21,716705,517542,655,473,0.16,109.42,109.42,2023-11-14 20:47:41
2020-01-03,12:25:00,MOEX,109.34,109.4,109.3,109.3,0.0002,3040,3323851,65,109.34,-0.0366,18,47,261381,3062470,239,2801,-0.84,109.36,109.33,2023-11-14 20:47:41
2020-01-03,12:30:00,MOEX,109.31,109.43,109.27,109.3,0.0002,4370,4778672,120,109.35,-0.0091,60,60,3240810,1537862,2963,1407,0.36,109.38,109.3,2023-11-14 20:47:21
2020-01-03,12:35:00,MOEX,109.3,109.32,109.24,109.28,0.0001,782,854605,44,109.28,-0.0183,15,29,135530,719075,124,658,-0.68,109.3,109.28,2023-11-14 20:47:42
2020-01-03,12:40:00,MOEX,109.32,109.32,109.1,109.3,0.0002,6584,7191059,138,109.22,-0.0183,72,66,4709817,2481242,4312,2272,0.31,109.23,109.21,2023-11-14 20:47:43
2020-01-03,12:45:00,MOEX,109.2,109.25,109.01,109.02,0.0003,3533,3855092,102,109.12,-0.1648,31,71,741819,3113272,680,2853,-0.62,109.09,109.12,2023-11-14 20:47:43
2020-01-03,12:50:00,MOEX,109.02,109.04,108.91,108.92,0.0002,4270,4653175,130,108.97,-0.0917,58,72,2813898,1839276,2582,1688,0.21,108.98,108.96,2023-11-14 20:47:22
2020-01-03,12:55:00,MOEX,108.92,108.93,108.87,108.9,0.0002,795,865777,35,108.9,-0.0184,17,18,323447,542330,297,498,-0.25,108.9,108.9,2023-11-14 20:47:22
2020-01-03,13:00:00,MOEX,108.87,108.92,108.81,108.92,0.0002,4235,4611232,80,108.88,0.0459,41,39,3070756,1540475,2820,1415,0.33,108.89,108.87,2023-11-14 20:47:44
2020-01-03,13:05:00,MOEX,108.92,109.19,108.87,109.18,0.0001,5141,5602369,93,108.97,0.2387,68,25,4619323,983045,4239,902,0.65,108.97,108.99,2023-11-14 20:47:44
